Year,Total_Population,Urban_Population,Rural_Population,Major_City,State,Urbanization_Rate,Rural_Rate,Pop_Growth_Rate,Urban_Growth_Rate,Rural_Growth_Rate
2000,8029200,6422560,1606640,Lagos Metropolis,Lagos,79.99003636725949,20.009963632740497,,,
2005,8947000,7426150,1520850,Lagos Metropolis,Lagos,83.00156477031408,16.998435229685928,11.430777661535396,15.626012057497318,-5.33971518199472
2010,10788000,9170880,1617120,Lagos Metropolis,Lagos,85.01001112347052,14.989988876529479,20.5767296300436,23.49440827346607,6.330012821777298
2015,12550598,11038980,1511618,Lagos Metropolis,Lagos,87.95580895826637,12.04419104173363,16.33850574712643,20.369909975923782,-6.524067477985551
2020,14368332,12966892,1401440,Lagos Metropolis,Lagos,90.24632782705744,9.75367217294255,14.483246136956973,17.464584590242936,-7.2887462308599105
2000,4472200,2010990,2461210,Ibadan,Oyo,44.966459460668126,55.033540539331874,,,
2005,5135000,2464650,2670350,Ibadan,Oyo,47.99707887049659,52.00292112950341,14.820446312776703,22.559038085718974,8.497446378001072
2010,6311200,3029376,3281824,Ibadan,Oyo,48.0,52.0,22.905550146056484,22.913030247702505,22.89864624487428
2015,7069479,3534740,3534739,Ibadan,Oyo,50.000007072656985,49.999992927343015,12.01481493218406,16.682115392740936,7.7065375839776795
2020,7840864,4154449,3686415,Ibadan,Oyo,52.98458180118926,47.01541819881074,10.91148301027558,17.53195425971925,4.291009887858754
2000,4100500,2337365,1763135,Port Harcourt,Rivers,57.00195098158761,42.99804901841239,,,
2005,4835000,2998850,1836150,Port Harcourt,Rivers,62.02378490175802,37.97621509824198,17.912449701255937,28.300457994365445,4.141203027561691
2010,5839500,3736700,2102800,Port Harcourt,Rivers,63.99006764277764,36.00993235722236,20.77559462254395,24.604431698817876,14.52223402227486
2015,6559906,4460633,2099273,Port Harcourt,Rivers,67.9984286360201,32.001571363979906,12.336775408853494,19.373591671795975,-0.16772874262888093
2020,7303700,5186664,2117036,Port Harcourt,Rivers,71.01419828306202,28.985801716937992,11.338485642934515,16.27641189042004,0.8461500719534776
2000,830000,747000,83000,Abuja,FCT,90.0,10.0,,,
2005,1215000,1094550,120450,Abuja,FCT,90.08641975308642,9.91358024691358,46.3855421686747,46.52610441767069,45.120481927710856
2010,2245000,2130950,114050,Abuja,FCT,94.91982182628063,5.080178173719376,84.77366255144032,94.68731442145173,-5.313408053134083
2015,3277740,3113853,163887,Abuja,FCT,95.0,5.0,46.00178173719376,46.12510851967433,43.69750109601051
2020,4370000,4197300,172700,Abuja,FCT,96.04805491990847,3.9519450800915332,33.32357050894823,34.79441707749209,5.377485706614915
